Table;C;R;U;D;Program
LCIYS;;R;;;ILWARDTEDC;
CEXRO;;R;;;GP-070-STRONG-CCY;
REFFL;;R;;;AAFRC;
ACLOG;;R;U;;AAFRC;
GSEMO;;R;;;AAFRC;
ICNFS;;R;;;AAFRC;
GMONO;C;;;;AAFRC;
PRSNL;;R;U;;AAFRC;
SECUR;;R;;;AAFRC;
GMSGS;;R;;;AAFRC;
AASPS;;R;;;AAFRC;
DEFIN;;R;;;AAFRC;
AAFRO;C;R;U;D;AAFRC;
AAFRL;C;;;;AAFRC;
ITLDO;;R;;;IMLD5;
IPTIO;;R;;;IMLD5;
ACLOG;;R;U;;IMLD5;
GSEMO;;R;;;IMLD5;
ICNFS;;R;;;IMLD5;
GMONO;C;;;;IMLD5;
SECUR;;R;;;IMLD5;
ISAVO;C;R;U;;IMLD5;
PRSNL;;R;U;;IMLD5;
GMSGS;;R;;;IMLD5;
AASPS;;R;;;IMLD5;
DEFIN;;R;;;IMLD5;
LPRDS;;R;;;IMLD5;
LRCES;;R;;;IMLD5;
LPSNS;;R;;;IMLD5;
ABA1S;;R;;;IMLD5;
LCCYS;;R;;;IMLD5;
LBRAS;;R;;;IMLD5;
LBROS;;R;;;IMLD5;
IGLDO;;R;;;IMLD5;
REFFL;;R;;;IMLD5;
DIPTO;;R;;;GP-068AEPMTINTLOG;
DIPTL;C;;;;GP-068AEPMTINTLOG;
AASPS;;R;;;GR-003REPERRORS;
RPSCH;C;R;U;;GR-003REPERRORS;
RSTRT;;R;U;;GR-003REPERRORS;
SECUR;;R;;;GR-003REPERRORS;
REFFL;;R;;;ABA14;
ACLOG;;R;U;;ABA14;
GSEMO;;R;;;ABA14;
GMONO;C;;;;ABA14;
SECUR;;R;;;ABA14;
PRSNL;;R;U;;ABA14;
GMSGS;;R;;;ABA14;
AASPS;;R;;;ABA14;
DEFIN;;R;;;ABA14;
ICNFS;;R;;;ABA14;
ABA1S;;R;;;ABA14;
REFFL;;R;;;ILOUTINVMA;
LBRAS;;R;;;ILOUTINVMA;
LBGRS;;R;;;ILOUTINVMA;
RPSCH;C;R;U;;ILOUTINVMA;
SECUR;;R;;;ILOUTINVMA;
RSTRT;C;R;U;;ILOUTINVMA;
PRSNL;;R;;;ILOUTINVMA;
PRNTR;;R;;;ILOUTINVMA;
RPDEF;;R;;;ILOUTINVMA;
LPHYS;;R;;;ILOUTINVMA;
LRCES;;R;;;ILOUTINVMA;
CEXRO;;R;;;ILOUTINVMA;
CMRGO;;R;;;ILOUTINVMA;
IERBS;;R;;;ILOUTINVMA;
ACVRO;;R;;;ILOUTINVMA;
GMSGS;;R;;;ILOUTINVMA;
LCCYS;;R;;;ILOUTINVMA;
AASPS;;R;;;ILOUTINVMA;
LPRDS;;R;;;ILOUTINVMA;
AEXRS;;R;;;ILOUTINVMA;
RPSCH;C;R;U;;ILDOCTMAT;
SECUR;;R;;;ILDOCTMAT;
RSTRT;C;R;U;;ILDOCTMAT;
PRSNL;;R;;;ILDOCTMAT;
PRNTR;;R;;;ILDOCTMAT;
RPDEF;;R;;;ILDOCTMAT;
LPHYS;;R;;;ILDOCTMAT;
LRCES;;R;;;ILDOCTMAT;
CEXRO;;R;;;ILDOCTMAT;
CMRGO;;R;;;ILDOCTMAT;
